id,title,release_date,vote_average,vote_count,popularity,original_language,genre_ids,budget,revenue,runtime,production_companies,overview
180299,The Raid 2,2014-03-27,7.611,2232,33.653,id,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",4500000,6566916,150,"['XYZ Films', 'PT. Merantau Films', 'Stage 6 Films', 'Sony Pictures Classics']","After fighting his way through an apartment building populated by an army of dangerous criminals and escaping with his life, SWAT team member Rama goes undercover, joining a powerful Indonesian crime syndicate to protect his family and uncover corrupt members of his own force."
64686,47 Ronin,2013-12-06,6.178,3715,36.552,en,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",175000000,151783839,119,"['Mid Atlantic Films', 'Stuber Pictures', 'Moving Picture Company', 'H2F Entertainment', 'Universal Pictures', 'Relativity Media']","Kai—an outcast—joins Oishi, the leader of 47 outcast samurai.  Together they seek vengeance upon the treacherous overlord who killed their master and banished their kind.  To restore honour to their homeland, the warriors embark upon a quest that challenges them with a series of trials that would destroy ordinary warriors."
39451,Little Fockers,2010-12-21,5.645,3136,30.547,en,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",100000000,310650585,98,"['Universal Pictures', 'Paramount', 'DreamWorks Pictures', 'Relativity Media', 'Tribeca Productions', 'Everyman Pictures']","It has taken 10 years, two little Fockers with wife Pam and countless hurdles for Greg to finally get in with his tightly wound father-in-law, Jack. After the cash-strapped dad takes a job moonlighting for a drug company, Jack's suspicions about his favorite male nurse come roaring back. When Greg and Pam's entire clan descends for the twins' birthday party, Greg must prove to the skeptical Jack that he's fully capable as the man of the house."
184314,Young & Beautiful,2013-08-21,6.472,1189,37.548,fr,"[{'id': 18, 'name': 'Drama'}]",4645437,9757417,95,"['FOZ', 'Mars Films', 'France 2 Cinéma', 'Mandarin Cinéma']","Isabelle, a 17-year-old student, loses her virginity during a quick holiday romance. When she returns home, she begins a secret life as a prostitute for a year."
10634,Friday,1995-04-26,7.159,1721,33.622,en,"[{'id': 35, 'name': 'Comedy'}]",3500000,28200000,91,"['New Line Cinema', 'Priority Films', 'Ice Cube/Pat Charbonnet Productions']","Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do."
2757,Adaptation.,2002-12-06,7.366,2384,22.028,en,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",19000000,32800000,115,"['Columbia Pictures', 'Propaganda Films', 'Good Machine', 'Intermedia', 'Beverly Detroit Studios', 'Clinica Estetico']","Nicolas Cage is Charlie Kaufman, a confused L.A. screenwriter overwhelmed by feelings of inadequacy, sexual frustration, self-loathing, and by the screenwriting ambitions of his freeloading twin brother Donald. While struggling to adapt ""The Orchid Thief,"" by Susan Orlean, Kaufman's life spins from pathetic to bizarre. The lives of Kaufman, Orlean's book, become strangely intertwined as each one's search for passion collides with the others'."
9410,Great Expectations,1998-01-30,6.638,577,33.508,en,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",25000000,55494066,111,"['20th Century Fox', 'The Linson Company']","Loosely based on the Charles Dickens' classic novel, ""Great Expectations"" is a sensual tale of a young man's unforgettable passage into manhood, and the three individuals who will undeniably change his life forever. Through the surprising interactions of these vivid characters, ""Great Expectations"" takes a unique and contemporary look at life's great coincidences."
143,All Quiet on the Western Front,1930-04-29,7.754,754,24.027,en,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",1448864,3270000,133,['Universal Pictures'],"When a group of idealistic young men join the German Army during World War, they are assigned to the Western Front, where their patriotism is destroyed by the harsh realities of combat."
306947,The Invitation,2016-04-08,6.444,2513,36.53,en,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]",1000000,354835,100,"['XYZ Films', 'Gamechanger Films', 'Lege Artis', 'The Invitation', 'Drafthouse Films']","Will and his new girlfriend Kira are invited to a dinner with old friends at the house of Will’s ex Eden and her new partner David. Although the evening appears to be relaxed, Will soon gets a creeping suspicion that their charming host David is up to something."
2028,Say Anything...,1989-04-14,7.052,947,26.775,en,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",16000000,20036737,100,"['Gracie Films', '20th Century Fox']","Lloyd, an eternal optimist, seeks to capture the heart of Diane, an unattainable high school beauty and straight-A student. He surprises just about everyone-including himself-when she returns the sentiment. But Diane's over-possessive, divorced Dad disapproves and it's going to take more than just the power of love to conquer all."
23446,One Piece: Clockwork Island Adventure,2001-03-03,6.946,251,28.024,ja,"[{'id': 28, 'name': 'Action'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]",0,0,60,['Toei Animation'],"Relaxing on a cozy beach, the Straw Hat Pirates are taking a rest from their quest. Right until Luffy noticed the Going Merry has been hijacked and sailed off from the beach. This leads them to search the ship and find the thief who took it from them. They ran into a duo named the Theif Brothers, who informed them that their ship was stolen by a group of pirates called the Trump Kyoudai. When they encountered the Trump Pirates, Nami ended up getting kidnapped as well as Luffy's hat. They tracked down the pirates to their base on Clockwork Island. Now Luffy, Zoro, Sanji, Usopp, and the Theif Brothers must reclaim the Going Merry, Save Nami, and get back Shank's straw hat."
135348,Tabu,1977-01-28,5.0,4,42.641,sv,"[{'id': 18, 'name': 'Drama'}]",0,0,115,"['Stockholm Film', 'Europa Film', 'Vilgot Sjöman Film']","Solidarity with the border people. Equal rights for the sexual  deviants. Kristoffer Lohman is a young solicitor who collects stories and knowledge of different perversions. This has affected and changed his own sexual life. Sara, a young well-behaved and adorned woman, becomes interested in Kristoffer's activity."
539537,Fantasy Island,2020-02-12,5.81,2373,33.465,en,"[{'id': 27, 'name': 'Horror'}, {'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}, {'id': 9648, 'name': 'Mystery'}]",7000000,49500000,109,"['Blumhouse Productions', 'Columbia Pictures', 'Tower of Babble Entertainment']","A group of contest winners arrive at an island hotel to live out their dreams, only to find themselves trapped in nightmare scenarios."
2924,Backdraft,1991-05-24,6.642,1356,35.269,en,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",75000000,152368585,137,"['Trilogy Entertainment Group', 'Imagine Entertainment', 'Universal Pictures']",Firemen brothers Brian and Stephen McCaffrey battle each other over past slights while trying to stop an arsonist with a diabolical agenda from torching Chicago.
106021,Erased,2012-08-23,6.068,706,23.521,en,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",12000000,0,100,"['Informant Europe SPRL', 'uFilm', 'Informant Media', 'Entertainment Motion Pictures', 'uMedia', 'uFund', 'Essential Entertainment', 'Expatriate Films', 'Smash Media', 'Transfilm', 'National Bank of Canada TV and Motion Picture Group']",A former agent of the CIA and his estranged daughter go on the run after his employers target them for assassination.
4512,The Assassination of Jesse James by the Coward Robert Ford,2007-09-20,7.044,2402,26.52,en,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]",30000000,14711793,160,"['Plan B Entertainment', 'Virtual Studios', 'Scott Free Productions', 'Alberta Film Entertainment', 'Jesse Films Inc.', 'Warner Bros. Pictures']","Outlaw Jesse James is rumored to be the 'fastest gun in the West'. An eager recruit into James' notorious gang, Robert Ford eventually grows jealous of the famed outlaw and, when Robert and his brother sense an opportunity to kill James, their murderous action elevates their target to near mythical status."
38199,Unthinkable,2010-06-14,6.758,1139,21.519,en,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",15000000,0,97,"['Senator Entertainment', 'Lleju Productions', 'Sidney Kimmel Entertainment', 'Kimmel International', 'ChubbCo Film']",The government gets wind of a plot to destroy America involving a trio of nuclear weapons for which the whereabouts are unknown. It's up to a seasoned interrogator and an FBI agent to find out exactly where the nukes are.
